account_code,account_name,account_alias,account_type,region,address,notes
ACC-001,한국건설기술연구원,KICT,customer,고양시,경기도 고양시 일산서구 고양대로 283,
ACC-002,삼성전자,,customer,수원 CS센터,,
ACC-003,국립환경과학원,NIER,customer,실내환경과,인천광역시 서구 환경로 42 국립환경과학원 실내환경종합연구동,
ACC-004,한국건설생활환경시험연구원,KCL,customer,군포 시험분석센터,인천광역시 남동구 담방로 85 KCL 인천경기센터,
ACC-005,LG전자,,customer,평택,,
ACC-006,한국기계전기전자시험연구원,KTC,customer,군포시,경기 군포시 엘에스로115번길 74,
ACC-007,한국화학융합시험연구원,KTR,customer,(설치 : 김포 -> 이전 : 과천 중앙동),경기도 과천시 교육원로 98,
ACC-008,한국의류시험연구원,KATRI,customer,안양시,경기도 안양시 만양구 덕천로48번길 19,
ACC-009,FITI시험연구원,재,customer,오창,서울특별시 강서구 마곡중앙8로3길 79,
ACC-010,대우건설기술연구소,,customer,수원시,,
ACC-011,한국실내건축환경시험연구원/한국가구시험연구원,KASTI,customer,한국주택가구협동조합,,
ACC-012,경기대진테크노파크,,customer,경기가구인증센터,,
ACC-013,한국토지주택연구원,,customer,주택성능연구개발센터(HERI),,
ACC-014,㈜한샘,,customer,생활환경기술연구소,,
ACC-015,㈜건설품질기술연구원,,customer,화성시,,
ACC-016,HP코리아,HPPK,customer,성남,,
ACC-017,국민대학교,,customer,[서울]건축대학 건축학부/산학협력단,서울특별시 성북구 정릉로 77,
ACC-018,한국에스지에스㈜,,customer,동탄,,
