delivery_code,account_code,site_code,template_code,model_no,serial_no,chamber_count,delivered_on,notes
DEL-2005-001,ACC-001,SITE-001-01,LCS-024M,LCS-024M,LCS-SJ-24M-001,1,2005-07-01,"Shinryo, Japen"
DEL-2005-002,ACC-002,SITE-002-01,LCS-005M,LCS-005M,LCS-SJ-05M-002,1,2005-11-01,"Shinryo, Japen -> 장치 폐기 예정(2025년)"
DEL-2007-003,ACC-003,SITE-003-01,LCS-024M,LCS-024M,LCS-SJ-24M-004,1,2007-03-01,"Shinryo, Japen -> 장치 폐기 (2023년)"
DEL-2007-004,ACC-004,SITE-004-01,LCS-005M,LCS-005M,LCS-SJ-05M-003,1,2007-02-01,"Shinryo, Japen"
DEL-2009-005,ACC-005,SITE-005-01,LCS-001M,LCS-001M,LCS-SJ-01M-005,1,2009-07-01,"Shinryo, Japen"
DEL-2010-006,ACC-006,SITE-006-01,LCS-005M,LCS-005M,LCS-SJ-05M-006,1,2010-10-01,"Shinryo, Japen"
DEL-2011-007,ACC-007,SITE-007-01,LCS-005M,LCS-005M,LCS-SJ-05M-007,1,2011-08-01,"Shinryo, Japen"
DEL-2012-008,ACC-008,SITE-008-01,LCS-001M,LCS-001M,LCS-SJ-01M-008,1,2012-10-01,"Shinryo, Japen"
DEL-2013-009,ACC-009,SITE-009-01,LCS-001M,LCS-001M,LCS-SJ-01M-009,1,2013-09-01,"Shinryo, Japen"
DEL-2015-010,ACC-010,SITE-010-01,LCS-026M,LCS-026M,26-LCS-001,1,2015-07-01,"Unitech, Korea"
DEL-2015-011,ACC-004,SITE-004-01,LCS-026M,LCS-026M,26-LCS-002,1,2015-07-01,
DEL-2015-012,ACC-004,SITE-004-01,LCS-026M,LCS-026M,26-LCS-003,1,2015-07-01,
DEL-2015-013,ACC-004,SITE-004-02,LCS-026M,LCS-026M,26-LCS-004,1,2015-07-01,
DEL-2015-014,ACC-004,SITE-004-02,LCS-026M,LCS-026M,26-LCS-005,1,2015-07-01,
DEL-2015-015,ACC-011,SITE-011-01,LCS-026M,LCS-026M,26-LCS-006,1,2015-12-01,
DEL-2017-016,ACC-011,SITE-011-01,LCS-026M,LCS-026M,26-LCS-007,1,2017-03-01,
DEL-2017-017,ACC-012,SITE-012-01,LCS-026M,LCS-026M,26-LCS-008,1,2017-03-01,
DEL-2017-018,ACC-012,SITE-012-01,LCS-026M,LCS-026M,26-LCS-009,1,2017-09-01,
DEL-2018-019,ACC-007,SITE-007-02,LCS-026M,LCS-026M,26-LCS-010,1,2018-06-01,
DEL-2018-020,ACC-007,SITE-007-02,LCS-026M,LCS-026M,26-LCS-011,1,2018-08-01,
DEL-2018-021,ACC-013,SITE-013-01,LCS-040M,LCS-040M,40-LCS-012,1,2018-09-01,
DEL-2018-022,ACC-013,SITE-013-01,LCS-005M,LCS-005M,05-LCS-013,1,2018-09-01,
DEL-2019-023,ACC-014,SITE-014-01,LCS-014M,LCS-014M,14-LCS-014,1,2019-03-01,2023년 연구소 이전 / 장치 폐기됨
DEL-2019-024,ACC-007,SITE-007-02,LCS-026M,LCS-026M,26-LCS-015,1,2019-05-01,
DEL-2019-025,ACC-002,SITE-002-01,LCS-026M,LCS-026M,26-LCS-016,1,2019-06-01,
DEL-2019-026,ACC-004,SITE-004-01,LCS-026M,LCS-026M,26-LCS-017,1,2019-08-01,
DEL-2020-027,ACC-015,SITE-015-01,LCS-026M,LCS-026M,26-LCS-018,1,2020-04-30,
DEL-2020-028,ACC-001,SITE-001-01,LCS-026M,LCS-026M,26-LCS-019,1,2020-05-01,
DEL-2020-029,ACC-006,SITE-006-01,LCS-026M,LCS-026M,26-LCS-020,1,2020-06-12,
DEL-2021-030,ACC-006,SITE-006-01,LCS-026M,LCS-026M,26-LCS-021,1,2021-02-19,
DEL-2021-031,ACC-006,SITE-006-01,LCS-026M,LCS-026M,26-LCS-022,1,2021-02-19,
DEL-2021-032,ACC-002,SITE-002-01,LCS-008M,LCS-008M,08-LCS-023,1,2021-09-15,
DEL-2021-033,ACC-002,SITE-002-01,LCS-016M,LCS-016M,16-LCS-024,1,2021-09-15,
DEL-2021-034,ACC-004,SITE-004-03,LCS-005M,LCS-005M,05-LCS-025,1,2021-10-01,
DEL-2021-035,ACC-004,SITE-004-03,LCS-026M,LCS-026M,26-LCS-026,1,2021-10-01,
DEL-2021-036,ACC-016,SITE-016-01,LCS-002M,LCS-002M,02-LCS-027,1,2021-11-01,
DEL-2021-037,ACC-016,SITE-016-01,LCS-005M,LCS-005M,05-LCS-028,1,2021-11-01,
DEL-2021-038,ACC-009,SITE-009-02,LCS-030M,LCS-030M,30-LCS-030,1,2021-12-30,
DEL-2022-039,ACC-017,SITE-017-01,LCS-008M,LCS-008M,08-LCS-029,1,2022-01-30,
DEL-2023-040,ACC-018,SITE-018-01,LCS-026M,LCS-026M,26-LCS-031,1,2023-10-01,
DEL-2023-041,ACC-005,SITE-005-02,LCS-030M,LCS-030M,30-LCS-032,1,2023-10-01,다목적 대형챔버_미생물/부유먼지/냄새 등
DEL-2024-042,ACC-003,SITE-003-02,LCS-024M,LCS-024M,24-LCS-033,1,2024-09-27,
